"MJD","Year","Month","Day","YY.MMDD","X","timestamp","LOD[msec]","sigma_LOD[msec]"
37665,1962,1,1,62.0101,0,1962-01-01,1.723,1.4
37666,1962,1,2,62.0102,1,1962-01-02,1.669,1.4
37667,1962,1,3,62.0103,2,1962-01-03,1.582,1.4
37668,1962,1,4,62.0104,3,1962-01-04,1.496,1.4
37669,1962,1,5,62.0105,4,1962-01-05,1.416,1.4
37670,1962,1,6,62.0106,5,1962-01-06,1.382,1.4
37671,1962,1,7,62.0107,6,1962-01-07,1.413,1.4
37672,1962,1,8,62.0108,7,1962-01-08,1.505,1.4
37673,1962,1,9,62.0109,8,1962-01-09,1.628,1.4
37674,1962,1,10,62.0110,9,1962-01-10,1.738,1.4
37675,1962,1,11,62.0111,10,1962-01-11,1.794,1.4
37676,1962,1,12,62.0112,11,1962-01-12,1.774,1.4
37677,1962,1,13,62.0113,12,1962-01-13,1.667,1.4
37678,1962,1,14,62.0114,13,1962-01-14,1.51,1.4
37679,1962,1,15,62.0115,14,1962-01-15,1.312,1.4
37680,1962,1,16,62.0116,15,1962-01-16,1.112,1.4
37681,1962,1,17,62.0117,16,1962-01-17,0.936,1.4
37682,1962,1,18,62.0118,17,1962-01-18,0.811,1.4
37683,1962,1,19,62.0119,18,1962-01-19,0.733,1.4
37684,1962,1,20,62.0120,19,1962-01-20,0.681,1.4
37685,1962,1,21,62.0121,20,1962-01-21,0.678,1.4
37686,1962,1,22,62.0122,21,1962-01-22,0.721,1.4
37687,1962,1,23,62.0123,22,1962-01-23,0.79,1.4
37688,1962,1,24,62.0124,23,1962-01-24,0.862,1.4
37689,1962,1,25,62.0125,24,1962-01-25,0.944,1.4
37690,1962,1,26,62.0126,25,1962-01-26,1.004,1.4
37691,1962,1,27,62.0127,26,1962-01-27,1.037,1.4
37692,1962,1,28,62.0128,27,1962-01-28,1.052,1.4
37693,1962,1,29,62.0129,28,1962-01-29,1.052,1.4
37694,1962,1,30,62.0130,29,1962-01-30,1.044,1.4
37695,1962,1,31,62.0131,30,1962-01-31,1.037,1.4
37696,1962,2,1,62.0201,31,1962-02-01,1.017,1.4
37697,1962,2,2,62.0202,32,1962-02-02,1.041,1.4
37698,1962,2,3,62.0203,33,1962-02-03,1.125,1.4
37699,1962,2,4,62.0204,34,1962-02-04,1.289,1.4
37700,1962,2,5,62.0205,35,1962-02-05,1.506,1.4
37701,1962,2,6,62.0206,36,1962-02-06,1.714,1.4
37702,1962,2,7,62.0207,37,1962-02-07,1.879,1.4
37703,1962,2,8,62.0208,38,1962-02-08,1.959,1.4
37704,1962,2,9,62.0209,39,1962-02-09,1.93,1.4
37705,1962,2,10,62.0210,40,1962-02-10,1.818,1.4
37706,1962,2,11,62.0211,41,1962-02-11,1.65,1.4
37707,1962,2,12,62.0212,42,1962-02-12,1.474,1.4
37708,1962,2,13,62.0213,43,1962-02-13,1.303,1.4
37709,1962,2,14,62.0214,44,1962-02-14,1.166,1.4
37710,1962,2,15,62.0215,45,1962-02-15,1.081,1.4
37711,1962,2,16,62.0216,46,1962-02-16,1.056,1.4
37712,1962,2,17,62.0217,47,1962-02-17,1.064,1.4
37713,1962,2,18,62.0218,48,1962-02-18,1.113,1.4
37714,1962,2,19,62.0219,49,1962-02-19,1.16,1.4
37715,1962,2,20,62.0220,50,1962-02-20,1.213,1.4
37716,1962,2,21,62.0221,51,1962-02-21,1.287,1.4
37717,1962,2,22,62.0222,52,1962-02-22,1.333,1.4
37718,1962,2,23,62.0223,53,1962-02-23,1.359,1.4
37719,1962,2,24,62.0224,54,1962-02-24,1.374,1.4
37720,1962,2,25,62.0225,55,1962-02-25,1.351,1.4
37721,1962,2,26,62.0226,56,1962-02-26,1.308,1.4
37722,1962,2,27,62.0227,57,1962-02-27,1.256,1.4
37723,1962,2,28,62.0228,58,1962-02-28,1.221,1.4
37724,1962,3,1,62.0301,59,1962-03-01,1.202,1.4
37725,1962,3,2,62.0302,60,1962-03-02,1.243,1.4
37726,1962,3,3,62.0303,61,1962-03-03,1.352,1.4
37727,1962,3,4,62.0304,62,1962-03-04,1.52,1.4
37728,1962,3,5,62.0305,63,1962-03-05,1.73,1.4
37729,1962,3,6,62.0306,64,1962-03-06,1.929,1.4
37730,1962,3,7,62.0307,65,1962-03-07,2.06,1.4
37731,1962,3,8,62.0308,66,1962-03-08,2.084,1.4
37732,1962,3,9,62.0309,67,1962-03-09,1.999,1.4
37733,1962,3,10,62.0310,68,1962-03-10,1.835,1.4
