YEAR,dLOD[ms],Error[ms]
1600,-3.3,3
1610,-3.8,3
1620,-3.9,3
1630,-3.9,3
1640,-3.6,3
1650,-3.1,3
1660,-2.5,3
1670,-1.9,2.4
1680,-1.4,2.2
1690,-1,1.9
1700,-0.6,1.6
1710,-0.2,1.4
1720,0.1,1.3
1730,0.4,1.1
1740,0.5,1
1750,0.6,0.8
1760,0.5,0.7
1770,0.3,0.6
1780,0,0.5
1790,-0.4,0.4
1800,-0.9,0.3
1801,-0.9,0.3
1802,-0.9,0.3
1803,-0.9,0.3
1804,-0.9,0.3
1805,-0.8,0.3
1806,-0.7,0.3
1807,-0.6,0.3
1808,-0.4,0.3
1809,-0.2,0.3
1810,0,0.3
1811,0.2,0.3
1812,0.4,0.3
1813,0.4,0.3
1814,0.5,0.3
1815,0.4,0.3
1816,0.3,0.3
1817,0.2,0.3
1818,0,0.3
1819,-0.3,0.3
1820,-0.6,0.3
1821,-0.9,0.3
1822,-1.2,0.3
1823,-1.5,0.3
1824,-1.6,0.3
1825,-1.8,0.3
1826,-1.8,0.3
1827,-1.9,0.3
1828,-1.8,0.3
1829,-1.8,0.3
1830,-1.6,0.2
1831,-1.5,0.2
1832,-1.3,0.2
1833,-1.2,0.2
1834,-1,0.2
1835,-0.9,0.2
1836,-0.7,0.2
1837,-0.6,0.2
1838,-0.4,0.2
1839,-0.3,0.2
1840,-0.1,0.2
1841,0,0.2
1842,0.2,0.2
1843,0.3,0.2
1844,0.4,0.2
1845,0.5,0.2
1846,0.6,0.2
1847,0.7,0.2
1848,0.8,0.2
1849,0.8,0.2
1850,0.9,0.2
1851,0.9,0.2
1852,0.8,0.2
1853,0.5,0.2
1854,0.2,0.2
1855,-0.3,0.2
1856,-0.7,0.2
1857,-0.9,0.2
1858,-0.9,0.2
1859,-0.7,0.2
1860,-0.3,0.2
1861,0,0.2
1862,0,0.2
1863,-0.3,0.2
1864,-0.9,0.2
1865,-1.9,0.2
1866,-2.8,0.2
1867,-3.4,0.2
1868,-3.7,0.2
1869,-3.5,0.2
1870,-3.1,0.2
1871,-2.5,0.2
1872,-2,0.2
1873,-1.6,0.2
1874,-1.4,0.2
1875,-1.3,0.2
1876,-1.2,0.2
1877,-1.2,0.2
1878,-1.1,0.2
1879,-1.1,0.2
1880,-1,0.2
1881,-1,0.2
1882,-0.8,0.2
1883,-0.6,0.2
1884,-0.3,0.2
1885,0.1,0.2
1886,0.4,0.2
1887,0.5,0.2
1888,0.4,0.2
1889,0.2,0.1
1890,-0.3,0.1
1891,-0.7,0.1
1892,-0.9,0.1
1893,-0.8,0.1
1894,-0.5,0.1
1895,0.1,0.1
1896,0.7,0.1
1897,1.4,0.1
1898,2,0.1
1899,2.6,0.1
1900,3.1,0.1
1901,3.6,0.1
1902,3.9,0.1
1903,4,0.1
1904,3.9,0.1
1905,3.7,0.1
1906,3.5,0.1
1907,3.3,0.1
1908,3.3,0.1
1909,3.3,0.1
1910,3.5,0.1
1911,3.6,0.1
1912,3.6,0.1
1913,3.5,0.1
1914,3.3,0.1
1915,3,0.1
1916,2.7,0.1
1917,2.4,0.1
1918,2.1,0.1
1919,1.9,0.1
1920,1.7,0.1
1921,1.5,0.1
1922,1.3,0.1
1923,1.1,0.1
1924,0.9,0.1
1925,0.7,0.1
1926,0.6,0.1
1927,0.4,0.1
1928,0.3,0.1
1929,0.1,0.1
1930,0,0.1
1931,-0.1,0.1
1932,-0.1,0.1
1933,-0.2,0.1
1934,-0.2,0.1
1935,-0.2,0.1
1936,-0.2,0.1
1937,-0.1,0.1
1938,0.2,0.1
1939,0.5,0.1
1940,0.9,0.1
1941,1.3,0.1
1942,1.5,0.1
1943,1.6,0.1
1944,1.6,0.1
1945,1.4,0.1
1946,1.1,0.1
1947,1,0.1
1948,0.9,0.05
1949,0.9,0.05
1950,1,0.05
1950.5,1.1,0.05
1951,1.1,0.05
1951.5,1,0.05
1952,1,0.05
1952.5,0.8,0.05
1953,0.7,0.05
1953.5,0.5,0.05
1954,0.5,0.05
1954.5,0.5,0.05
1955,0.7,0.05
1955.5,0.9,0.05
1956,1.3,0.05
1956.5,1.6,0.05
1957,1.8,0.05
1957.5,1.9,0.05
1958,1.9,0.05
1958.5,1.7,0.05
1959,1.4,0.05
1959.5,1.1,0.05
1960,0.9,0.05
1960.5,0.8,0.05
1961,0.7,0.05
1961.5,0.7,0.05
1962,0.8,0.05
1962.5,0.9,0.05
1963,1.1,0.05
1963.5,1.3,0.05
1964,1.5,0.05
1964.5,1.8,0.05
1965,2.1,0.05
1965.5,2.3,0.05
1966,2.6,0.05
1966.5,2.7,0.05
1967,2.8,0.05
1967.5,2.8,0.05
1968,2.8,0.05
1968.5,2.7,0.05
1969,2.7,0.05
1969.5,2.7,0.05
1970,2.7,0.05
1970.5,2.8,0.05
1971,2.9,0.05
1971.5,3,0.05
1972,3,0.05
1972.5,3.1,0.05
1973,3,0.05
1973.5,3,0.05
1974,2.9,0.05
1974.5,2.8,0.05
1975,2.8,0.05
1975.5,2.7,0.05
1976,2.7,0.05
1976.5,2.8,0.05
1977,2.8,0.05
1977.5,2.8,0.05
1978,2.9,0.05
1978.5,2.8,0.05
1979,2.8,0.05
1979.5,2.7,0.05
1980,2.6,0.05
1980.5,2.5,0.05
1981,2.4,0.05
1981.5,2.3,0.05
1982,2.3,0.05
1982.5,2.2,0.05
1983,2.1,0.05
1983.5,2.1,0.05
1984,2,0.05
1984.5,1.9,0.05
1985,1.8,0.05
1985.5,1.6,0.05
1986,1.4,0.05
1986.5,1.3,0.05
1987,1.2,0.05
1987.5,1.2,0.05
1988,1.2,0.05
1988.5,1.3,0.05
1989,1.5,0.05
1989.5,1.7,0.05
1990,1.9,0.05
1990.5,2,0.05
1991,2,0.05
1991.5,2.1,0.05
1992,2,0.05
1992.5,2,0.05
1993,2,0.05
1993.5,2,0.05
1994,2,0.05
1994.5,2.1,0.05
1995,2.1,0.05
1995.5,2.2,0.05
1996,2.2,0.05
1996.5,2.1,0.05
1997,2,0.05
1997.5,1.8,0.05
1998,1.6,0.05
1998.5,1.4,0.05
1999,1.2,0.05
1999.5,1.1,0.05
2000,0.9,0.05
2000.5,0.7,0.05
2001,0.6,0.05
2001.5,0.5,0.05
2002,0.4,0.05
2002.5,0.4,0.05
2003,0.4,0.05
2003.5,0.4,0.05
2004,0.4,0.05
2004.5,0.5,0.05
2005,0.5,0.05
2005.5,0.6,0.05
2006,0.6,0.05
2006.5,0.7,0.05
2007,0.7,0.05
2007.5,0.8,0.05
2008,0.8,0.05
2008.5,0.8,0.05
2009,0.8,0.05
2009.5,0.8,0.05
2010,0.8,0.05
2010.5,0.7,0.05
2011,0.7,0.05
2011.5,0.7,0.05
2012,0.8,0.05
2012.5,0.9,0.05
2013,1,0.05
2013.5,1,0.05
2014,1.1,0.05
2014.5,1.1,0.05
2015,1.1,0.05
2015.5,1,0.05
2016,0.8,0.05
2017,0.5,0.05
2018,0.5,0.05
2019,0.5,0.05
2020,0.6,0.05
